,main_category,url
782,People_and_Society,apajh.org
783,People_and_Society,apaonline.org
784,Not_working,apart.pl
785,Shopping,apcofabrics.com
786,Health,apexlab.ru
787,Sports,apexmovement.com
788,Not_working,apexvisas.com
789,Computer_and_Electronics,apiary.io
790,Career_and_Education,apiasf.org
791,Autos_and_Vehicles,apiculture.com
792,Not_working,apiesdescalzos.es
793,Not_working,apihc.com
794,Science,apiservices.com
795,Not_working,apk.tw
796,Arts_and_Entertainment,apliiq.com
797,Business_and_Industry,aplusbenefits.com
798,Science,aplusphysics.com
799,Science,apmep.fr
800,Not_working,apnel.fr
801,Health,apollopharmacy.in
802,Health,apotek1.no
803,Health,apotekhjartat.se
804,Health,apoteksgruppen.se
805,Beauty_and_Fitness,apoteksinfo.nu
806,Health,apotex.com
807,Not_working,app.la
808,Not_working,appcan.cn
809,Food_and_Drink,appetitetheatre.com
810,Business_and_Industry,appliedmaterials.com
811,Games,appnana.com
812,Not_working,appnee.com
813,Internet_and_Telecom,appnexus.com
814,Computer_and_Electronics,appround32.com
815,Not_working,apps-srv.com
816,Computer_and_Electronics,appscase.com
817,Not_working,appservice.mobi
818,Not_working,appshooting.com.tw
819,Computer_and_Electronics,appshopper.com
820,Books_and_Literature,apress.com
821,Not_working,apriliaforum.com
822,Career_and_Education,aprima.com
823,Business_and_Industry,aps.com
824,Not_working,apsel.jp
825,Not_working,aptawelt.de
826,Career_and_Education,apteachers.in
827,Health,aptekagemini.pl
828,Gambling,apuesta24.com
